age,workclass,fnlwgt,education,education-num,marital-status,occupation,relationship,race,sex,capital-gain,capital-loss,hours-per-week,native-country,income
64,1,97073,9,13,2,1,0,4,1,1,0,40,39,1
51,4,319661,4,6,2,10,5,4,0,27,1,25,39,1
50,4,184856,11,9,2,7,2,4,1,16,0,52,39,0
21,4,372947,15,10,2,12,5,4,1,23,0,31,39,0
70,6,117144,12,14,6,4,4,4,0,15549,0,24,39,0
49,4,200103,0,6,6,12,4,4,0,8,1,55,39,0
45,8,40096,9,13,2,11,5,4,0,7455,0,40,39,1
19,0,194029,0,7,4,0,3,2,0,2,0,40,39,0
17,0,149509,3,7,4,7,3,3,0,34,0,12,2,0
39,1,210018,11,9,1,1,1,4,0,20,1,40,39,1
66,2,227130,13,10,2,3,0,2,1,10,0,57,39,1
55,0,193523,12,15,2,10,0,4,1,46,1,40,39,1
56,0,33248,11,9,0,1,1,4,0,24,0,40,39,0
37,3,402592,15,12,5,0,4,4,0,6,0,40,39,1
64,0,198055,9,13,6,12,1,4,0,23,1,63,39,1
35,4,126314,15,10,0,12,4,4,0,0,0,31,39,0
28,4,224442,15,10,0,3,1,4,1,0,1,45,39,1
51,6,263633,5,4,2,10,0,4,1,30,0,49,26,0
38,0,118154,15,10,0,12,1,2,0,0,0,54,39,1
48,4,224356,5,3,4,8,2,4,1,44,1,40,39,0
19,4,260098,15,10,4,7,3,4,1,9,1,11,39,0
75,0,209479,9,13,0,0,1,4,0,19,2107,16,39,1
19,4,109489,11,9,2,8,5,4,0,12,1,60,39,0
40,6,341945,9,13,2,10,0,4,1,11,1,49,39,1
42,1,200771,9,13,0,4,1,4,1,0,1,47,39,1
25,4,149134,9,13,4,12,1,4,1,0,1,58,23,0
58,0,181275,11,9,6,0,1,4,0,33,1,13,39,0
23,0,200955,9,13,4,0,1,4,1,7,0,40,39,0
17,0,121144,15,10,4,0,3,1,1,10,1,30,39,0
23,0,25086,15,10,4,7,1,2,0,9,0,40,39,0
31,7,237216,15,10,3,3,4,2,0,8,1,25,31,0
19,4,133758,5,9,4,14,3,4,1,21,1,40,39,0
41,4,406403,9,13,0,8,4,0,1,17,0,40,39,0
25,4,107970,9,13,2,3,0,1,1,0,0,63,21,1
41,8,436939,9,13,2,10,0,4,1,7899,1,40,39,1
20,7,461379,15,10,4,10,4,2,0,0,0,45,39,0
46,0,143102,15,10,0,0,4,4,0,0,1,37,39,0
24,2,403997,12,14,2,10,0,4,1,43,0,50,39,1
34,4,100752,15,10,3,12,4,4,1,0,1,50,39,0
17,2,130657,11,9,4,1,3,2,0,6,1,40,39,0
26,0,341567,15,10,2,1,0,4,1,0,1,40,39,0
24,4,191424,9,13,4,12,2,4,1,3,0,40,2,0
20,7,217422,7,12,0,1,1,4,1,0,2,57,39,1
50,6,137336,12,15,2,10,0,4,1,54,1,12,2,0
55,0,169806,15,10,2,6,0,4,1,0,0,40,39,0
27,4,113945,1,6,2,14,0,4,1,10,0,15,39,0
42,4,380810,15,10,4,1,1,2,0,5,2,15,39,0
17,4,137441,11,9,4,7,1,4,1,6,0,40,39,0
29,4,305163,12,11,2,3,0,1,1,22,1,40,35,1
39,7,192966,9,13,0,4,5,4,0,23,1,63,39,1
23,4,189890,11,9,4,1,2,4,0,5,1,40,39,0
29,4,359078,9,13,2,3,0,4,1,15,1,40,39,1
60,4,72162,3,6,6,8,1,0,0,3692,0,40,39,0
20,4,179565,11,9,0,1,1,4,1,4,0,40,39,0
65,0,395189,15,10,2,13,0,4,1,0,1,14,39,1
57,6,58413,11,9,2,14,0,4,1,22,0,60,39,0
45,0,219906,12,16,2,1,0,4,1,25,1,40,39,1
22,4,352767,1,10,4,3,1,0,1,0,1,25,39,0
17,4,185425,1,6,4,1,3,4,1,22,0,25,39,0
44,4,243687,15,10,3,4,1,4,1,24,1,45,12,1
25,2,156537,9,13,4,10,3,4,0,17,1,20,39,0
62,6,127487,5,4,6,1,1,4,0,17,0,25,39,0
33,6,256527,9,13,2,10,5,1,0,11,0,40,31,0
28,4,78927,11,9,1,7,5,4,0,36,0,40,39,0
37,4,184602,3,9,6,12,1,4,0,27,1,45,39,0
48,6,127376,8,11,0,4,1,4,1,0,1,55,39,0
31,4,194560,9,10,4,4,1,4,1,17,1,58,39,1
29,2,189086,12,14,2,10,0,4,1,40,1,40,39,1
69,6,95196,5,4,2,1,0,4,1,19,0,36,39,0
39,4,181966,11,9,4,7,3,4,1,14,1,62,39,0
40,7,195694,9,13,2,4,1,4,1,20,0,66,39,1
25,7,125877,15,10,2,10,0,4,1,22,0,75,39,1
27,6,100220,11,9,4,3,1,4,1,8,1,40,39,0
31,4,180938,1,7,4,12,4,0,0,15,1,49,39,0
61,5,349863,12,14,2,4,0,4,1,15082,1,58,39,1
38,4,152244,9,13,6,7,3,1,0,0,0,21,34,0
30,4,179524,9,13,0,12,1,1,1,0,0,40,10,1
64,6,134483,11,9,2,10,5,4,0,24,1,40,39,1
37,5,167467,12,14,2,13,0,4,1,7830,0,45,39,1
28,2,168426,15,10,0,12,1,2,0,5,1,30,39,0
51,4,397416,15,10,0,10,2,4,1,36,0,50,39,0
34,4,756249,15,10,0,8,3,2,0,3,0,40,39,0
26,4,181034,9,13,5,13,1,0,1,12,1,66,39,1
36,6,27641,11,9,0,12,1,4,0,0,1,40,39,0
31,6,176804,15,10,2,3,0,4,1,0,2,62,39,1
37,2,301698,9,13,2,10,0,4,1,23,0,40,39,1
41,2,298856,7,12,2,8,5,4,0,11,0,24,30,0
30,4,85755,11,13,0,12,4,2,0,52,1,57,39,0
39,4,326870,9,13,0,13,1,4,1,13,0,52,39,0
52,2,132183,11,9,0,7,4,2,0,20,1,36,39,0
23,4,199806,11,9,2,14,0,4,1,7652,1,40,39,1
23,7,116122,12,14,2,10,0,4,1,40,0,40,39,0
35,4,223980,9,14,2,4,0,3,1,0,1,45,39,1
17,4,125883,11,9,4,7,3,4,1,0,0,40,39,0
21,4,382660,15,10,4,10,1,4,1,0,0,45,39,0
33,2,207533,9,13,5,12,3,2,1,9,0,50,39,0
20,2,401389,11,9,4,0,2,2,0,1,1,40,39,0
47,4,184300,11,9,2,1,5,4,1,38,1,40,39,1
23,2,172506,11,9,4,3,1,4,1,10,1,40,39,0
67,0,143034,5,4,6,0,1,4,0,30,0,11,39,0
37,4,199401,7,12,6,12,1,2,0,12,0,40,39,0
25,2,167046,12,13,0,10,1,2,0,10,1,53,39,1
27,4,245736,15,11,5,13,2,4,1,26,0,36,10,0
28,1,52896,12,15,2,3,0,0,1,0,0,45,39,0
39,2,130040,9,13,2,3,0,2,1,0,0,40,39,1
55,7,355161,9,13,0,10,1,4,0,0,1,55,39,0
18,4,182639,11,9,4,12,1,4,0,40,0,40,39,0
36,4,343888,12,14,2,10,0,1,1,4348,1,60,21,1
33,4,133839,15,10,2,12,2,4,0,0,0,16,39,0
18,4,203293,9,13,4,1,3,4,0,0,1,20,39,0
34,6,120435,11,9,0,3,4,4,0,15,0,59,39,1
43,2,271649,9,13,2,10,0,3,1,34,1,40,39,1
54,6,221857,12,14,2,4,0,4,1,14,2,49,39,1
59,6,105526,3,11,0,12,1,4,0,2,0,62,39,0
49,4,314203,1,7,3,6,4,2,0,35,1,59,39,0
35,2,124773,11,9,0,1,4,4,0,18,0,40,39,0
40,4,215887,1,3,2,12,5,4,0,20,0,31,39,1
17,4,116523,11,9,4,12,3,4,1,21,0,40,39,0
55,4,81633,1,7,2,7,0,0,1,5,0,40,9,0
22,4,345042,1,13,4,6,3,2,1,8,0,25,39,0
24,0,560104,12,10,4,3,3,4,1,0,1,12,39,1
21,4,292423,11,9,2,7,0,4,1,3,0,40,2,0
32,5,367955,11,9,2,12,0,3,1,8,0,51,39,0
18,0,212139,11,9,0,1,1,0,1,3,2,63,39,0
38,0,368337,7,12,0,1,0,4,1,29,1,40,39,1
61,4,211345,9,13,0,1,4,4,0,14,0,40,36,0
19,4,110109,11,9,4,4,3,4,0,0,0,60,39,0
34,4,175779,11,9,0,4,1,4,0,17,0,61,39,1
17,4,73280,1,6,3,8,2,1,1,0,0,40,30,0
74,6,237317,11,9,2,12,0,4,1,17,0,53,39,0
58,6,220653,12,15,2,3,0,4,1,4037,1,40,39,1
25,4,151861,11,9,3,7,2,4,1,18,0,40,39,0
44,0,137246,11,9,4,0,1,4,1,8,0,40,39,0
17,4,223979,15,10,4,7,3,4,1,0,0,40,39,0
30,4,157950,1,7,0,1,3,4,0,0,0,40,39,0
49,6,126288,11,9,2,1,0,4,1,26,1,40,39,0
20,4,315831,11,9,4,1,3,2,1,0,0,40,39,0
28,6,160502,11,9,2,1,0,4,1,18,1,63,39,1
49,5,44015,13,11,2,10,0,4,1,36,0,40,39,1
43,4,187442,11,9,4,14,2,4,1,0,0,40,11,0
36,4,167956,8,11,0,3,1,4,1,0,1,40,39,0
44,3,201673,3,10,4,0,1,2,0,17,0,15,39,0
24,5,171985,9,13,4,10,1,4,1,7943,1,50,39,1
31,4,136095,15,10,2,3,0,4,1,1,1,60,39,0
49,4,138718,5,4,2,7,1,0,0,15,0,46,26,0
30,4,329679,5,7,2,3,0,4,1,3665,1,40,39,1
20,7,174671,11,9,4,1,1,4,0,39,2,40,39,0
51,4,28742,11,9,6,12,1,4,0,4,0,56,39,0
22,4,564397,15,10,0,12,1,4,0,3,0,60,39,0
34,6,116566,11,9,2,14,0,4,1,15,0,51,39,0
20,4,167542,1,7,4,14,3,4,1,15,0,40,39,0
40,6,145328,11,9,2,5,0,4,1,24,1,56,39,1
42,6,212103,9,13,4,13,1,4,1,0,0,57,39,1
19,4,329911,15,10,2,0,2,1,0,0,1,64,0,0
34,4,161420,11,9,2,4,0,4,1,8,2,59,39,0
46,6,168013,11,9,0,1,1,4,1,34,1,40,39,0
30,6,274225,15,10,2,1,5,4,0,23,2,37,39,1
29,4,147294,11,9,4,12,1,4,1,1,0,45,39,0
34,4,217102,8,11,4,10,1,4,0,11,1,40,39,1
53,4,217843,12,11,2,3,0,4,1,28,1,40,39,0
61,0,136821,5,6,6,8,3,2,0,21,0,25,39,0
56,4,123933,11,9,5,7,4,2,0,38,1,40,39,0
44,4,213038,11,9,2,4,0,4,1,19,1,40,39,1
34,4,181349,11,9,2,7,0,4,1,26,1866,40,26,0
52,6,98428,11,9,5,7,4,4,0,27,0,30,39,0
38,6,173716,8,11,3,7,4,2,0,10,0,40,39,0
48,4,257818,15,10,0,4,4,4,0,3500,1,45,39,0
24,7,320190,15,10,0,10,1,4,0,0,1,45,39,1
20,4,186004,9,13,4,4,3,4,1,0,0,64,39,0
47,4,139237,4,4,2,7,0,1,0,24,0,40,31,0
24,4,124843,11,9,5,3,1,4,1,13,1,40,39,0
64,6,258588,9,13,2,4,0,4,1,7647,1,53,39,1
54,2,116091,11,9,0,10,4,4,0,14,0,36,39,0
51,4,192137,5,4,2,7,0,4,1,25,0,21,26,1
19,7,392394,15,10,2,10,0,4,1,0,1,50,39,0
19,4,87729,7,12,4,12,3,4,1,55,0,25,39,0
46,4,134389,6,4,2,10,0,1,0,0,0,36,26,0
18,4,106232,7,12,4,12,3,4,1,28,0,15,2,0
38,7,186160,11,9,5,7,4,4,1,11,1,40,39,0
30,4,418169,15,10,2,6,0,4,1,13,1,45,26,0
41,7,205633,12,11,4,10,1,4,1,0,1,55,39,1
44,6,124423,15,10,2,12,0,4,1,19,1,45,39,1
32,6,198839,11,9,0,12,1,4,0,12,0,21,39,0
41,2,174541,15,10,2,4,0,4,1,0,1,40,39,0
37,7,82851,9,9,0,4,1,4,1,0,0,45,39,0
57,4,104029,13,15,2,3,0,4,1,15,0,54,39,0
24,4,106680,15,10,4,12,1,4,0,4,1,66,39,0
32,1,384052,15,10,2,8,0,4,1,43,0,40,39,1
57,4,113248,11,9,6,1,1,4,0,53,0,8,39,0
23,4,170298,3,4,3,7,2,4,0,3,2154,31,22,0
18,4,156743,11,9,4,14,2,4,1,10,0,60,39,0
54,0,204573,11,9,0,1,4,4,0,37,1,12,39,0
73,6,191765,9,13,2,4,0,4,1,1,1,50,39,1
57,0,187689,7,12,0,1,4,4,0,0,1,14,39,0
28,4,219766,9,13,4,3,1,4,1,3,1,40,39,1
49,0,218485,7,12,0,0,1,2,0,25,0,40,39,0
17,4,193999,11,9,4,14,3,4,1,5,0,59,39,0
35,2,379723,15,10,2,10,0,4,1,15293,1,45,39,1
17,4,185988,7,12,4,12,3,4,1,16,0,15,39,0
22,0,239267,15,7,4,1,4,3,0,6,0,40,39,0
44,4,202670,15,10,2,12,0,4,1,0,0,16,39,0
24,4,490079,7,6,4,3,3,4,1,37,0,13,39,0
28,6,123335,15,10,2,4,0,4,1,7312,0,14,39,0
52,6,156795,15,10,2,10,0,4,1,8,0,45,39,1
23,2,162492,9,13,4,10,3,1,0,10,1,14,22,0
67,4,141292,12,15,2,7,0,4,1,29,1,40,39,0
29,4,130027,15,10,4,12,1,4,1,4124,1,51,39,0
30,4,368124,9,13,4,1,2,4,0,2,2,24,8,0
31,7,213526,12,14,5,4,1,4,1,33,0,50,39,0
34,4,351202,9,13,0,3,1,4,1,16,0,40,39,0
20,4,229018,15,10,4,7,1,4,1,27,0,45,39,1
57,5,168695,11,9,6,4,0,4,1,39,1,48,39,0
19,4,177780,11,9,4,12,1,4,1,8,1,59,39,0
37,4,187779,9,13,4,10,1,4,0,15,0,40,39,0
43,5,212184,12,14,2,12,0,4,1,15411,1,45,39,1
42,4,182063,9,13,2,10,5,4,1,10,0,48,10,1
21,4,179197,11,9,4,1,2,4,1,12,0,40,39,0
20,4,116350,11,9,4,1,1,4,1,13,1,40,39,0
32,4,308148,13,4,2,10,0,3,1,12,0,40,39,0
45,4,181026,11,9,4,4,1,4,1,17,0,60,39,0
44,4,204500,15,10,6,12,4,4,0,15,1,36,39,0
48,0,127195,6,7,0,0,4,4,1,3583,0,25,39,0
57,4,42572,15,10,6,12,1,2,0,0,2168,45,39,0
33,4,185302,9,13,2,10,1,4,1,30,1,40,22,0
20,1,112475,11,9,0,1,1,4,1,0,1,60,39,0
35,4,134627,11,9,2,1,0,3,1,10,0,13,39,0
27,8,298581,3,4,2,1,5,4,0,24,0,63,39,0
40,4,159659,9,13,0,13,1,4,0,0,1,56,39,0
29,2,257518,9,13,4,7,1,2,0,3,2,40,39,1
62,1,206583,9,13,2,1,0,4,1,1,2,40,39,1
22,0,199750,1,12,4,1,3,4,1,28,1,40,39,0
17,4,192504,11,9,4,14,3,4,1,19,1,25,39,0
39,2,132750,12,15,2,10,5,4,0,15327,1,21,36,1
19,4,198364,9,13,4,3,1,3,1,0,1,65,39,0
17,6,86088,11,9,4,1,1,4,1,28,0,40,39,0
35,6,189233,14,14,2,10,0,4,1,38,0,54,39,1
43,6,120837,11,9,0,12,1,4,1,10,1,56,39,0
21,3,204867,15,10,4,0,1,4,0,3,0,40,39,0
49,5,381877,12,14,6,4,1,4,1,15021,2099,50,22,1
30,2,168606,12,14,5,10,4,4,0,39,0,40,39,1
17,4,178514,1,7,4,10,1,4,1,15,1,63,39,0
35,2,192693,11,9,2,10,5,4,0,28,0,40,39,0
35,4,113333,11,9,0,14,0,4,1,0,0,40,39,0
28,4,208303,15,10,4,10,1,4,0,17,1,71,39,0
22,5,427289,15,10,2,12,1,2,1,12,0,40,39,0
64,4,103309,5,3,6,12,4,4,0,15778,0,30,32,0
43,2,371312,9,13,2,10,5,4,0,29,1,40,39,1
29,4,119507,9,13,4,10,4,4,0,12,1,40,39,0
34,4,175295,11,9,2,3,1,0,1,28,0,61,39,0
18,4,200082,9,13,4,14,1,4,1,7,1,45,39,0
55,4,152418,9,13,4,1,1,4,1,15,0,13,2,0
23,4,218209,9,13,4,12,3,1,0,18,0,60,21,0
21,0,406974,15,10,2,0,0,4,1,10,0,45,39,0
31,4,92109,11,9,4,1,1,4,0,15,1,40,39,1
38,4,178009,9,13,2,10,5,4,0,3802,2058,63,21,1
42,6,241602,7,4,0,0,1,4,0,9,1,31,39,0
34,0,136998,15,10,3,1,2,2,0,0,1,40,39,0
28,4,268189,11,9,0,8,1,4,0,0,0,64,39,0
49,2,177703,4,4,5,10,4,4,0,20,1,36,39,0
48,1,73637,9,13,4,4,1,4,0,0,1,50,39,0
52,6,90078,11,9,0,12,1,4,0,22,1,40,39,1
43,4,166321,11,9,0,1,4,4,0,15,0,71,39,0
32,4,131006,11,9,5,4,4,4,0,8,0,40,39,0
44,4,250757,9,13,0,4,1,4,1,0,0,68,39,1
24,6,118662,11,9,0,12,1,4,1,18,1,64,39,0
26,4,113342,15,10,0,12,4,4,1,0,1,37,39,0
42,4,204833,15,10,5,12,1,4,0,0,1,51,39,0
45,2,352183,5,4,2,7,0,4,1,25,0,40,3,0
69,4,101728,4,6,2,1,0,4,1,10,2118,40,10,0
38,4,131198,11,9,6,7,4,4,1,12,0,59,39,0
49,4,118679,11,9,0,4,1,4,0,20,2066,61,39,0
61,4,125102,12,14,2,12,0,3,1,48,1,40,39,1
34,2,370385,15,10,4,8,1,4,0,27,0,40,39,0
27,4,138661,9,13,4,4,3,1,0,14,0,20,39,0
45,6,177350,9,13,2,10,0,4,1,6,0,40,39,1
18,4,194089,15,10,4,1,3,4,1,0,0,20,39,0
21,4,210059,11,9,4,14,1,4,1,10,1,45,39,1
28,4,108503,11,9,4,8,4,4,1,0,0,40,39,0
26,4,207659,15,10,2,7,3,4,1,10,1,55,39,0
53,1,207938,11,9,0,1,4,4,1,14,0,59,39,0
19,4,130913,9,13,4,1,1,4,0,39,1,20,39,0
19,8,207505,11,9,2,8,5,4,1,0,1,61,39,0
41,4,153384,12,14,2,4,0,4,1,8151,1,57,39,1
57,4,150641,11,9,6,12,1,4,1,26,1,11,39,0
18,4,124452,11,9,4,8,3,4,1,29,0,12,39,0
19,4,176018,5,7,3,8,2,4,0,20,2,25,10,0
48,4,165968,11,9,6,8,1,4,1,32,0,60,39,0
46,1,94641,9,13,2,0,0,1,1,24,0,14,10,1
51,4,257542,15,10,2,12,0,1,1,19,0,40,1,0
25,4,111809,11,9,0,3,2,4,1,11,0,50,39,0
28,4,111659,11,9,0,1,1,4,1,13,0,40,39,1
28,4,219096,8,11,2,3,0,4,1,17,0,40,11,1
60,2,179794,13,15,2,10,0,4,1,32,1,40,39,1
20,4,368976,7,10,4,6,3,4,1,6,0,40,39,0
19,4,100773,11,9,4,6,2,1,1,13,0,26,36,0
62,4,241019,9,13,6,12,4,4,0,21,0,12,39,0
51,4,39510,11,9,2,14,0,4,1,7,0,40,39,0
27,6,112577,4,4,2,13,0,3,1,28,0,40,9,0
19,0,144800,15,10,4,8,3,4,0,15,1,36,39,0
52,2,154906,12,14,2,10,0,4,1,4231,1,50,39,1
57,4,159814,12,14,2,10,0,4,1,49,2,53,10,1
31,0,136501,1,10,2,1,0,0,1,3947,0,40,39,0
41,6,119085,8,11,5,1,4,4,1,35,0,54,39,0
25,4,221831,11,9,4,7,1,1,1,4,0,52,30,0
30,0,295777,15,10,4,12,4,4,0,3,0,37,39,0
17,4,181426,11,9,4,1,3,4,1,20,0,14,39,0
47,4,220982,11,9,2,7,0,4,1,0,1,40,39,1
26,4,160503,9,13,4,13,1,4,1,19,2,45,39,1
47,5,102473,11,9,1,1,1,4,0,0,0,40,39,1
38,4,358240,15,10,2,4,0,0,1,0,1,45,39,1
17,4,207803,11,9,4,8,3,2,0,2,0,21,39,0
19,0,124151,15,10,4,1,3,4,1,16,1,14,39,0
46,4,70422,11,9,2,12,0,1,0,17,0,45,35,0
49,6,109951,11,9,2,12,0,4,1,24,0,57,39,0
53,2,211211,4,6,2,7,0,4,1,3949,0,40,31,0
24,4,188966,11,9,3,12,1,4,1,11,1,40,39,0
62,4,309420,13,3,2,10,0,4,1,0,0,67,39,0
46,5,310818,1,4,2,14,5,4,0,4040,1,57,39,0
37,2,260360,15,10,2,1,5,4,0,0,2,40,39,1
40,4,234749,11,9,1,7,2,4,0,2,0,40,39,0
44,4,129100,12,15,2,10,0,4,1,53,1,40,39,1
49,4,133874,1,6,2,6,0,4,1,6,1,40,26,0
17,6,156810,11,9,4,7,3,4,0,27,1,21,2,0
31,4,285816,15,10,4,7,4,4,1,6,0,16,39,0
69,1,99736,9,13,6,8,1,4,0,5,1,50,39,0
46,4,177553,9,13,3,4,1,4,1,11,1,72,39,1
24,4,411797,11,9,5,3,4,4,1,20,0,40,39,1
47,1,180686,11,9,2,1,2,4,0,0,1,25,39,0
59,0,416201,15,10,2,0,0,2,1,13,1,14,39,1
26,4,114612,11,9,4,14,3,4,1,22,0,40,39,0
18,4,185881,11,7,4,8,2,4,0,3,1,40,39,0
42,2,97955,12,14,2,13,0,4,1,3787,1886,45,39,1
26,2,190532,7,12,0,10,1,4,0,0,1,40,39,0
20,4,352273,15,10,4,14,3,4,1,0,0,40,39,0
49,7,91826,11,9,2,10,0,4,0,25,1,40,39,0
34,4,199895,9,13,4,10,4,4,0,10,0,59,39,0
27,4,145688,11,9,2,14,0,4,1,3,1,40,39,0
58,6,122400,12,14,2,4,0,4,1,13,1,50,39,1
17,0,366929,1,7,4,0,1,4,0,0,0,14,31,0
44,4,142491,15,10,2,1,4,4,0,0,0,40,39,0
56,4,65344,11,9,3,7,4,4,1,24,0,40,39,0
41,4,155748,8,11,0,7,4,4,1,20,1,40,39,0
46,4,140914,15,10,0,1,1,4,0,28,1,37,39,0
74,6,76740,12,14,2,10,0,4,1,15127,1,50,39,1
36,4,353358,11,9,2,10,0,4,1,39,2,40,39,1
20,4,177243,11,9,0,4,1,4,1,30,0,50,39,0
47,2,134176,15,10,4,4,0,4,1,0,0,12,39,0
41,2,161051,12,14,2,10,0,2,1,26,2,58,39,1
17,0,45773,1,7,4,0,3,4,1,0,0,14,39,0
38,6,151414,8,11,0,10,2,4,1,4,0,40,39,1
29,2,184683,9,13,2,8,3,4,0,4,1842,13,2,0
23,4,103201,11,9,4,1,2,0,0,23,0,12,39,0
24,1,191111,11,9,2,1,5,4,0,15,2,40,39,0
70,4,205308,13,15,2,14,0,4,1,19,0,40,39,1
49,4,160829,11,9,2,8,0,4,1,3489,0,40,39,0
58,4,173304,8,11,5,1,1,4,0,12,2,40,39,0
39,2,106039,9,13,0,1,1,4,0,20,0,61,39,1
18,4,182600,1,7,4,1,3,2,1,0,1,40,39,0
20,4,326859,15,10,4,8,1,1,1,0,1,61,1,0
54,0,131336,1,7,2,14,0,4,1,46,0,40,39,0
42,4,77681,9,13,4,12,1,0,1,21,0,50,39,1
40,4,91383,9,13,2,3,0,4,1,7,1,40,39,0
67,2,209088,9,13,2,10,0,4,1,7734,1830,20,39,1
38,4,149743,15,10,0,3,1,4,0,4,1,53,39,1
25,4,122057,15,10,4,7,4,2,0,21,0,25,39,0
21,6,217843,15,10,4,4,1,4,1,0,1,16,39,0
20,4,175822,1,11,4,7,2,4,1,6,1,40,39,0
58,4,176105,6,6,2,7,5,0,0,20,0,40,39,0
48,6,147755,11,9,6,8,4,4,0,25,1,51,39,0
53,2,339876,9,13,0,10,1,4,0,25,1,40,39,1
52,4,205098,1,7,5,14,4,2,0,15,0,40,39,0
72,0,111484,5,6,6,7,4,4,0,3,0,40,39,0
40,4,154534,15,10,0,4,1,4,1,0,1,40,3,0
28,6,231251,11,9,2,14,0,4,1,0,1,61,39,0
21,4,237056,11,9,2,7,2,4,1,30,0,40,39,0
21,4,105963,11,9,4,7,3,2,1,34,1,54,39,0
56,1,122348,5,15,2,1,0,4,1,33,0,40,39,0
20,4,40187,11,9,4,14,3,2,1,12,0,40,39,0
41,0,160817,15,10,0,0,3,2,1,6,0,37,39,0
39,2,517936,9,13,2,10,0,4,1,14811,1,60,39,1
49,7,185134,11,9,6,8,4,4,0,15,0,51,39,0
22,0,381594,7,12,4,10,1,4,0,3,0,53,39,0
30,4,297662,15,10,4,4,2,4,0,34,0,36,39,0
46,6,408838,5,3,2,7,0,4,1,11,0,67,39,0
43,6,91575,11,9,0,7,5,2,0,0,2,60,39,1
42,4,201724,9,13,2,3,0,4,1,3724,0,40,39,1
26,7,154209,9,13,4,10,4,4,0,0,1,40,39,0
19,4,206729,15,10,4,7,1,4,0,0,0,14,39,0
25,4,234736,11,9,2,14,0,4,1,2,0,61,39,0
53,4,360301,8,11,2,7,0,4,1,18,1,40,39,1
37,1,352205,9,13,0,1,1,4,0,0,0,50,39,0
25,7,185423,9,13,4,10,4,4,1,26,1,45,39,1
27,4,194854,6,7,2,10,0,4,1,10,0,12,39,0
22,1,117377,11,9,4,3,0,4,1,0,2,40,39,0
26,4,317627,15,12,4,4,1,4,1,0,1,45,39,0
46,4,180171,11,9,5,7,4,2,1,29,1,40,39,0
40,4,386236,15,10,0,10,1,4,0,0,0,12,39,0
40,4,169752,11,9,6,10,4,4,0,16,1,60,39,0
31,6,125596,12,14,4,4,1,4,1,7948,1,50,39,1
27,4,223445,15,10,4,12,0,4,1,0,0,40,39,0
19,4,118747,15,10,6,7,3,4,0,0,0,25,39,0
26,4,145614,15,10,2,3,0,4,1,4,1,45,39,0
34,6,209870,11,9,0,14,4,2,0,8,1,40,39,0
27,7,322940,12,15,2,1,0,3,1,0,0,40,39,1
36,4,127074,13,9,2,8,5,4,0,33,0,25,39,1
18,4,158992,11,9,3,1,3,3,1,19,0,40,39,0
27,7,368462,9,13,2,10,0,4,1,0,0,52,39,1
22,4,350524,15,10,4,1,1,4,1,16,0,40,39,0
22,4,170940,11,9,4,12,4,4,0,18,0,40,39,0
63,6,217417,12,14,2,4,0,4,1,7743,0,67,39,1
58,4,202682,15,10,0,8,1,2,0,0,1,40,39,0
38,2,103596,11,9,0,10,1,2,0,0,1,40,39,0
46,4,191919,15,10,4,6,1,2,1,1,0,40,39,0
